fixed 5% (baseline),fixed 8%,adaptive k=4,adaptive ramp-only,adaptive ease-only
162.82653001567004,122.13702352189186,184.7361198035912,160.97224973759188,185.40060002699622
219.4895936031435,142.71838955186325,242.46343835487374,215.72248975600704,246.67186667321064
374.5307783095429,319.48133234326167,368.2671600463781,360.3040123582299,383.4618016388768
110.66217523956415,72.55811094928724,132.42969073341655,108.8074807911025,133.91155297929504
151.55485287730033,130.22060579831896,161.0882933165973,151.40736980989954,162.2988223570183
253.3470760395182,184.54948355235163,267.0378980530629,246.23600875413547,275.2230662364123
140.71951243981223,142.47710788816588,171.80158716114923,140.61536645842872,173.0437182825385
148.65987392340986,101.49556705049446,157.32682393017274,143.61341167911468,158.80648871718176
189.85875579584453,173.29758421726112,273.6754003908717,216.83222564283636,253.112251620814
186.04432050494353,186.46499081420814,196.74671106881627,185.42289385045154,198.8903664093172
123.02966197126773,116.49295739948909,163.70068502067963,128.17095771243146,161.06677336929107
175.16148223709962,149.7187575922805,187.19589692555493,171.81767927265358,190.00281346210207
174.60431918236628,95.48516577218358,196.23204419629212,165.09942290604326,193.72157547599164
198.26775305948323,133.70630667431993,229.9206943958743,196.55995014467538,233.0316676287617
225.58098165736638,182.67599161548878,253.22008781385404,232.23138351396898,255.247107178648
121.54840410159764,112.31668017187141,159.90565526599866,122.70737789959742,160.40596981274643
250.78575934697676,200.3266899154267,262.30924887384185,249.76926176781026,263.3039116203303
150.29746801699636,139.9989690793784,176.18554600620777,154.05135162602141,172.7370214008426
146.50316480585838,142.63846624070473,156.72832580808188,127.6126016745048,158.28995143780284
166.08146770460743,151.9551738215883,180.7330799513124,165.3593708828792,182.22134985374154
236.32344749955465,192.720961123922,255.16531900425352,232.27141871834462,258.4222406946313
162.5967242274065,140.97758305512798,167.6195962535587,159.8518696980724,170.53285364811438
236.25446719364973,210.72461821750034,238.2664585753863,236.22753822254313,247.30348407262107
